"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
1464527,"Chordata","Aves","Columbiformes","Columbidae","Columba","Columba livia",,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
422618,"Chordata","Aves","Coraciiformes","Alcedinidae","Chloroceryle","Chloroceryle aenea",,,,FALSE,TRUE,FALSE,"LC","LC","American pygmy kingfisher, Martin-pêcheur nain","birds"
422616,"Chordata","Aves","Coraciiformes","Alcedinidae","Chloroceryle","Chloroceryle amazona",,,,FALSE,TRUE,FALSE,"LC","LC","Amazon kingfisher, Martin-pêcheur d'Amazonie","birds"
422617,"Chordata","Aves","Coraciiformes","Alcedinidae","Chloroceryle","Chloroceryle americana",,,,FALSE,TRUE,FALSE,"LC","LC","green kingfisher, Martin-pêcheur vert","birds"
159001,"Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle","Megaceryle alcyon",,,,FALSE,TRUE,FALSE,"LC","LC","belted kingfisher, Martin-pêcheur d'Amérique","birds"
422588,"Chordata","Aves","Falconiformes","Accipitridae","Buteogallus","Buteogallus anthracinus",,,,FALSE,TRUE,FALSE,"LC","LC","common black hawk, buse noire","birds"
1525634,"Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo",,,"12S",FALSE,FALSE,TRUE,"LC","LC",,"birds"
422593,"Chordata","Aves","Gruiformes","Rallidae","Aramides","Aramides cajanea",,,,FALSE,TRUE,FALSE,,,"grey-necked wood rail,  Râle de Cayenne","birds"
422600,"Chordata","Aves","Gruiformes","Aramidae","Aramus","Aramus guarauna",,,,FALSE,TRUE,FALSE,"LC","LC","limpkin,  Courlan brun","birds"
343999,"Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata magnificens",,,,FALSE,TRUE,FALSE,"LC","LC","magnificent frigatebird, frégate superbe","birds"
343935,"Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus occidentalis",,,,FALSE,TRUE,FALSE,"LC","LC","brown pelican, pélican brun","birds"
137177,"Chordata","Aves","Pelecaniformes","Phaethontidae","Phaethon","Phaethon aethereus",,,,FALSE,TRUE,FALSE,"LC","LC","red-billed tropicbird, phaéton à bec rouge","birds"
343939,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax brasilianus",,,,FALSE,TRUE,FALSE,,,"neotropical cormorant, Cormoran vigua","birds"
212599,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula dactylatra",,,,FALSE,TRUE,FALSE,"LC","LC","blue-faced booby, Fou masqué","birds"
343958,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula granti",,,,FALSE,TRUE,FALSE,"LC","LC","Nazca booby, fou de Grant","birds"
212597,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula leucogaster",,,,FALSE,TRUE,FALSE,"LC","LC","brown booby, fou brun","birds"
343959,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula nebouxii",,,,FALSE,TRUE,FALSE,"LC","LC","blue-footed booby, fou à pieds bleus","birds"
212596,"Chordata","Aves","Pelecaniformes","Sulidae","Sula","Sula sula",,,,FALSE,TRUE,FALSE,"LC","LC","red-footed booby, fou à pieds rouges","birds"
1674258,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna creatopus",,,,FALSE,TRUE,FALSE,"VU","VU",,"birds"
137191,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma castro",,,,FALSE,TRUE,FALSE,,,"band-rumped storm petrel, océanite de Castro","birds"
343968,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma microsoma",,,,FALSE,TRUE,FALSE,,,"least storm petrel, océanite minute","birds"
343969,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma tethys",,,,FALSE,TRUE,FALSE,,,"wedge-rumped storm petrel, océanite téthys","birds"
137202,"Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus griseus",,,,FALSE,TRUE,FALSE,,,"sooty shearwater, puffin fuligineux","birds"
212634,"Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus pacificus",,,,FALSE,TRUE,FALSE,,,"wedge-tailed shearwater, puffin fouquet","birds"
346152,"Arthropoda","Copepoda","Calanoida","Paracalanidae","Bestiolina","Bestiolina similis",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
220919,"Arthropoda","Copepoda","Calanoida","Pontellidae","Calanopia","Calanopia minor",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
104669,"Arthropoda","Copepoda","Calanoida","Paracalanidae","Calocalanus","Calocalanus pavo",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
211848,"Arthropoda","Copepoda","Calanoida","Paracalanidae","Calocalanus","Calocalanus plumulosus",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
104495,"Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Centropages furcatus",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
104503,"Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
104726,"Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera acuta",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
104683,"Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus indicus",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
220898,"Arthropoda","Copepoda","Calanoida","Temoridae","Temora","Temora discaudata",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
346477,"Arthropoda","Copepoda","Cyclopoida","Corycaeidae","Farranula","Farranula gibbula",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
220944,"Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona","Oithona attenuata",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
116382,"Arthropoda","Copepoda","Harpacticoida","Miraciidae","Macrosetella","Macrosetella gracilis",,,"COI",FALSE,FALSE,TRUE,,,,"copepods"
395411,"Arthropoda","Malacostraca","Amphipoda","Megaluropidae","Gibberosus","Gibberosus coibaensis",1,,,TRUE,TRUE,FALSE,,,,"crustaceans"
442089,"Arthropoda","Malacostraca","Decapoda","Mithracidae","Ala","Ala cornuta",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
514794,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheopsis","Alpheopsis allanhancocki",1,2019,,TRUE,TRUE,FALSE,,,,"crustaceans"
514832,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus bellimanus",1,2019,,TRUE,TRUE,FALSE,,,"olive snapping shrimp","crustaceans"
240849,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus cylindricus",,,,FALSE,TRUE,FALSE,,,"cylindrical snapping shrimp","crustaceans"
210544,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus lottini",1,2019,,TRUE,TRUE,FALSE,,,"coral snapping shrimp","crustaceans"
158349,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus normanni",5,2019,,TRUE,TRUE,FALSE,,,"green snapping shrimp","crustaceans"
514963,"Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus saxidomus",1,2019,,TRUE,TRUE,FALSE,,,,"crustaceans"
